date,goals,shots,shooting_pct,opp_id,opp_name,opp_ga_per_gp,scored
2023-04-08,0,1,0.0,23,Vancouver Canucks,3.633,0
2023-04-05,0,4,0.0,52,Winnipeg Jets,2.747,0
2023-04-04,0,1,0.0,16,Chicago Blackhawks,3.646,0
2023-03-20,0,1,0.0,26,Los Angeles Kings,3.138,0
2023-03-18,0,3,0.0,25,Dallas Stars,2.684,0
2023-03-16,0,2,0.0,54,Vegas Golden Knights,2.788,0
2023-03-14,0,3,0.0,53,Arizona Coyotes,3.575,0
2023-03-12,0,2,0.0,9,Ottawa Senators,3.3,0
2023-03-10,0,1,0.0,24,Anaheim Ducks,4.088,0
2023-03-07,0,0,0.0,30,Minnesota Wild,2.658,0
2023-03-06,0,1,0.0,25,Dallas Stars,2.684,0
2023-03-04,0,0,0.0,30,Minnesota Wild,2.658,0
2023-03-02,0,1,0.0,10,Toronto Maple Leafs,2.709,0
2023-02-28,0,2,0.0,6,Boston Bruins,2.1,0
2023-02-25,0,1,0.0,21,Colorado Avalanche,2.734,0
2023-02-23,0,1,0.0,54,Vegas Golden Knights,2.788,0
2023-02-22,0,2,0.0,53,Arizona Coyotes,3.575,0
2023-02-20,0,2,0.0,4,Philadelphia Flyers,3.363,0
2023-02-18,0,1,0.0,3,New York Rangers,2.638,0
2023-02-16,0,0,0.0,17,Detroit Red Wings,3.291,0
2023-02-13,0,1,0.0,9,Ottawa Senators,3.3,0
2023-02-11,0,0,0.0,7,Buffalo Sabres,3.641,0
2023-02-09,0,1,0.0,17,Detroit Red Wings,3.291,0
2023-02-06,0,0,0.0,3,New York Rangers,2.638,0
2023-01-23,0,0,0.0,29,Columbus Blue Jackets,4.025,0
2023-01-21,0,2,0.0,14,Tampa Bay Lightning,3.1,0
2023-01-18,0,3,0.0,21,Colorado Avalanche,2.734,0
2023-01-16,0,1,0.0,18,Nashville Predators,2.873,0
2023-01-14,1,2,50.0,25,Dallas Stars,2.684,1
2023-01-12,0,1,0.0,19,St. Louis Blues,3.65,0
2023-01-10,0,1,0.0,19,St. Louis Blues,3.65,0
2023-01-08,0,0,0.0,16,Chicago Blackhawks,3.646,0
2023-01-06,0,0,0.0,2,New York Islanders,2.625,0
2023-01-03,0,2,0.0,52,Winnipeg Jets,2.747,0
2022-12-31,0,1,0.0,23,Vancouver Canucks,3.633,0
2022-12-28,0,0,0.0,55,Seattle Kraken,3.089,0
2022-12-27,0,1,0.0,22,Edmonton Oilers,3.163,0
2022-12-23,0,2,0.0,24,Anaheim Ducks,4.088,0
2022-12-22,0,0,0.0,26,Los Angeles Kings,3.138,0
2022-12-20,0,2,0.0,28,San Jose Sharks,3.81,0
2022-12-12,0,1,0.0,8,Montréal Canadiens,3.7,0
2022-12-10,0,1,0.0,10,Toronto Maple Leafs,2.709,0
2022-12-09,0,1,0.0,29,Columbus Blue Jackets,4.025,0
2022-12-07,0,0,0.0,30,Minnesota Wild,2.658,0
2022-12-05,0,2,0.0,53,Arizona Coyotes,3.575,0
2022-12-03,0,0,0.0,15,Washington Capitals,3.152,0
2022-12-01,0,1,0.0,8,Montréal Canadiens,3.7,0
2022-11-29,0,0,0.0,13,Florida Panthers,3.3,0
2022-11-26,0,0,0.0,12,Carolina Hurricanes,2.557,0
2022-11-25,0,1,0.0,15,Washington Capitals,3.152,0
2022-11-23,0,2,0.0,5,Pittsburgh Penguins,3.188,0
2022-11-21,0,1,0.0,4,Philadelphia Flyers,3.363,0
2022-11-19,0,2,0.0,13,Florida Panthers,3.3,0
2022-11-17,0,0,0.0,14,Tampa Bay Lightning,3.1,0
2022-11-14,0,0,0.0,26,Los Angeles Kings,3.138,0
2022-11-12,0,0,0.0,52,Winnipeg Jets,2.747,0
2022-11-01,0,1,0.0,55,Seattle Kraken,3.089,0
2022-10-29,0,0,0.0,22,Edmonton Oilers,3.163,0
2022-10-25,0,1,0.0,5,Pittsburgh Penguins,3.188,0
2022-10-22,0,4,0.0,12,Carolina Hurricanes,2.557,0
2022-10-20,0,2,0.0,7,Buffalo Sabres,3.641,0
2022-10-18,0,0,0.0,54,Vegas Golden Knights,2.788,0
2022-10-15,0,1,0.0,22,Edmonton Oilers,3.163,0
2022-10-13,0,1,0.0,21,Colorado Avalanche,2.734,0
